卍新纂大日本續藏經數位版, No. 576 般若心經註解


得手工夫切莫疑 疑心若起便途迷
行行直上山頭去 柳媚華明遇自奇


作善如登百尺竿 下來容易上來難
直須勤力行功過 人獸幾希要細參


迅速光陰不可留 年年只見水東流
不信試把青菱照 昔日朱顏今白頭


萬轉身如不繫舟 風翻浪湧便難收
臨流執定篙和舵 一路輕帆到岸頭


萬法皆空莫浪求 如來只在此心頭
清枷愛鎻都拋却 無取無拘得自由


天堂快樂幾多般 愛苦諸魂出獄難
苦樂由來爭一念 青蓮原植沸湯間


恩愛牽纏解不開 一朝身去不相借
於今撒手無沾滯 直上靈山白玉臺


富貴由來水上漚 何須騎上揚州
蓮池有箇收心法 靜裏時吟七筆勾


華落華開又一年 人生幾見月常圓
打開名利無栓鎻 烈火騰騰好種蓮


心境從來要廓清 休教煩惱日相侵
靈山無限逍遙處 功德池邊洗六塵


休教六賊日相攻 色色形形總是空
悟得本來無一物 靈臺只在此心中


心外求經路便差 水中月影鏡中花
真空妙義君知否 七寶莊嚴總欠佳


風旛動處總非真 自在如如只此心
解得拈華微笑意 本來何地著纖塵


流光迅速莫蹉跎 名利牽纏以網羅
撒手懸崖無別法 白蓮臺畔禮彌陀


經營世故日忙忙 錯認迷途是故鄉
識得本來真面目 此身原是臭皮囊


元宵燈後便無燈 萬古常門只此心
朗照諸天終不滅 一龕佛火月三更


見美如無在一心 莫將勾引怨摩登
防閑女色如防賊 外寇何能奪主人


望鄉臺畔尚思家 月慘風悽冥路斜
縱有紙錢無處使 都緣一點念頭差


森羅殿上鬼多般 百沸油鐺萬刃山
識得如來真實義 無邊解脫一時閒


陷溺沉迷已有年 愛河瀼瀼浪滔天
持經自可登高岸 何用中流更見船


塵緣斷後自消融 清淨方知色是空
佛即心兮心即佛 青山只在白雲中


聞說西方種異蓮 花開十丈藕如船
靈臺自有祗園樹 本地風光即佛天


嬌女原是粉骷髏 暮樂朝歡總不愁
一旦無常歸冥路 夜臺難逞舊風流


聚寶為山未足奇 不如持經得菩提
金經明示成真路 何事亡羊泣道岐


諸佛菩薩只此心 何須泥塑與裝金
世間點燭燒香者 笑倒慈悲觀世音


了悟猶如夜得燈 無窻暗室忽開明
此身不向經中度 更向何方度此身


去惡猶如治亂絲 寧心自有得開時
若教錯用些兒力 萬劫牽纏莫了期


日夜無期只認真 略差些子便相爭
誰知一赴泉臺路 悔把恩仇抵死分


鐵面閻羅不狥情 剉燒舂磨實難禁
試從業鏡臺邊看 地獄何曾見好人


陷入汙泥久不回 西江難洗垢形骸
一朝得證菩提願 鐵樹奇花處處開


北邙山下列墳塋 荒草迷離怪鳥鳴
長臥泉臺人不醒 桃殘李謝過清明


佛說波羅蜜妙經 前無千古後無令
註成人鬼齊超度 功德如天莫比倫

